[0. 0.],[0.5 0. ],[0.0074401  0.49722573],
[0.3779319  0.67263556],[0.88537201 0.16986129],[0.38537201 0.16986129],
[0.89281211 0.66708701],[0.39281211 0.66708701],[0.90025221 0.16431274],
[0.40025221 0.16431274],[0.90769231 0.66153846],[0.40769231 0.66153846],
[0.91513241 0.15876419],[0.41513241 0.15876419],[0.92257251 0.65598991],
[0.42257251 0.65598991],[0.93001261 0.15321564],[0.43001261 0.15321564],
[0.93745271 0.65044136],[0.43745271 0.65044136],[0.94489281 0.14766709],
[0.44489281 0.14766709],[0.95233291 0.64489281],[0.45233291 0.64489281],
[0.95977301 0.14211854],[0.45977301 0.14211854],[0.96721311 0.63934426],
[0.46721311 0.63934426],[0.97465322 0.13656999],[0.47465322 0.13656999],
[0.98209332 0.63379571],[0.48209332 0.63379571],[0.98953342 0.13102144],
[0.48953342 0.13102144],[0.99697352 0.62824716],[0.49697352 0.62824716],
[0.00441362 0.12547289],[0.50441362 0.12547289],[0.01185372 0.62269861],
[0.51185372 0.62269861],[0.01929382 0.11992434],[0.51929382 0.11992434],
[0.02673392 0.61715006],[0.52673392 0.61715006],[0.03417402 0.11437579],
[0.53417402 0.11437579],[0.04161412 0.61160151],[0.54161412 0.61160151],
[0.04905422 0.10882724],[0.54905422 0.10882724],[0.05649433 0.60605296],
[0.55649433 0.60605296],[0.06393443 0.10327869],[0.56393443 0.10327869],
[0.07137453 0.60050441],[0.57137453 0.60050441],[0.07881463 0.09773014],
[0.57881463 0.09773014],[0.08625473 0.59495586],[0.58625473 0.59495586],
[0.09369483 0.09218159],[0.59369483 0.09218159],[0.10113493 0.58940731],
[0.60113493 0.58940731],[0.10857503 0.08663304],[0.60857503 0.08663304],
[0.11601513 0.58385876],[0.61601513 0.58385876],[0.12345523 0.08108449],
[0.62345523 0.08108449],[0.13089533 0.57831021],[0.63089533 0.57831021],
[0.13833544 0.07553594],[0.63833544 0.07553594],[0.14577554 0.57276166],
[0.64577554 0.57276166],[0.15321564 0.06998739],[0.65321564 0.06998739],
[0.16065574 0.56721311],[0.66065574 0.56721311],[0.16809584 0.06443884],
[0.66809584 0.06443884],[0.17553594 0.56166456],[0.67553594 0.56166456],
[0.18297604 0.05889029],[0.68297604 0.05889029],[0.19041614 0.55611602],
[0.69041614 0.55611602],[0.19785624 0.05334174],[0.69785624 0.05334174],
[0.20529634 0.55056747],[0.70529634 0.55056747],[0.21273644 0.04779319],
