[0. 0.],[0.5 0. ],[0.0074401  0.49722573],
[0.82068096 0.47364439],[0.32068096 0.47364439],[0.82812106 0.97087011],
[0.32812106 0.97087011],[0.83556116 0.46809584],[0.33556116 0.46809584],
[0.84300126 0.96532156],[0.34300126 0.96532156],[0.85044136 0.46254729],
[0.35044136 0.46254729],[0.85788146 0.95977301],[0.35788146 0.95977301],
[0.86532156 0.45699874],[0.36532156 0.45699874],[0.87276166 0.95422446],
[0.37276166 0.95422446],[0.88020177 0.45145019],[0.38020177 0.45145019],
[0.88764187 0.94867591],[0.38764187 0.94867591],[0.89508197 0.44590164],
[0.39508197 0.44590164],[0.90252207 0.94312736],[0.40252207 0.94312736],
[0.90996217 0.44035309],[0.40996217 0.44035309],[0.91740227 0.93757881],
[0.41740227 0.93757881],[0.92484237 0.43480454],[0.42484237 0.43480454],
[0.93228247 0.93203026],[0.43228247 0.93203026],[0.93972257 0.42925599],
[0.43972257 0.42925599],[0.94716267 0.92648172],[0.44716267 0.92648172],
[0.95460277 0.42370744],[0.45460277 0.42370744],[0.96204288 0.92093317],
[0.46204288 0.92093317],[0.96948298 0.41815889],[0.46948298 0.41815889],
[0.97692308 0.91538462],[0.47692308 0.91538462],[0.98436318 0.41261034],
[0.48436318 0.41261034],[0.99180328 0.90983607],[0.49180328 0.90983607],
[0.99924338 0.40706179],[0.49924338 0.40706179],[0.00668348 0.90428752],
[0.50668348 0.90428752],[0.01412358 0.40151324],[0.51412358 0.40151324],
[0.02156368 0.89873897],[0.52156368 0.89873897],[0.02900378 0.39596469],
[0.52900378 0.39596469],[0.03644388 0.89319042],[0.53644388 0.89319042],
[0.04388398 0.39041614],[0.54388398 0.39041614],[0.05132409 0.88764187],
[0.55132409 0.88764187],[0.05876419 0.38486759],[0.55876419 0.38486759],
[0.06620429 0.88209332],[0.56620429 0.88209332],[0.07364439 0.37931904],
[0.57364439 0.37931904],[0.08108449 0.87654477],[0.58108449 0.87654477],
[0.08852459 0.37377049],[0.58852459 0.37377049],[0.09596469 0.87099622],
[0.59596469 0.87099622],[0.10340479 0.36822194],[0.60340479 0.36822194],
[0.11084489 0.86544767],[0.61084489 0.86544767],[0.11828499 0.36267339],
[0.61828499 0.36267339],[0.12572509 0.85989912],[0.62572509 0.85989912],
[0.1331652  0.35712484],[0.6331652  0.35712484],[0.1406053  0.85435057],
[0.6406053  0.85435057],[0.1480454  0.35157629],[0.6480454  0.35157629],
[0.1554855  0.84880202],[0.6554855  0.84880202],[0.1629256  0.34602774],
[0.6629256  0.34602774],[0.1703657  0.84325347],[0.6703657  0.84325347],
[0.1778058  0.34047919],[0.6778058  0.34047919],[0.1852459  0.83770492],
[0.6852459  0.83770492],[0.192686   0.33493064],[0.692686   0.33493064],
[0.2001261  0.83215637],[0.7001261  0.83215637],[0.2075662  0.32938209],
[0.7075662  0.32938209],[0.21500631 0.82660782],[0.71500631 0.82660782],
[0.22244641 0.32383354],[0.72244641 0.32383354],[0.22988651 0.82105927],
[0.72988651 0.82105927],[0.23732661 0.31828499],[0.73732661 0.31828499],
[0.24476671 0.81551072],[0.74476671 0.81551072],[0.25220681 0.31273644],
[0.75220681 0.31273644],[0.25964691 0.80996217],[0.75964691 0.80996217],
[0.26708701 0.30718789],[0.76708701 0.30718789],[0.27452711 0.80441362],
[0.77452711 0.80441362],[0.28196721 0.30163934],[0.78196721 0.30163934],
[0.28940731 0.79886507],[0.78940731 0.79886507],[0.29684741 0.29609079],
[0.79684741 0.29609079],[0.30428752 0.79331652],[0.80428752 0.79331652],
[0.31172762 0.29054224],[0.81172762 0.29054224],[0.31916772 0.78776797],
[0.81916772 0.78776797],[0.32660782 0.28499369],[0.82660782 0.28499369],
[0.33404792 0.78221942],[0.83404792 0.78221942],[0.34148802 0.27944515],
[0.84148802 0.27944515],[0.34892812 0.77667087],[0.84892812 0.77667087],
[0.35636822 0.2738966 ],[0.85636822 0.2738966 ],[0.36380832 0.77112232],
[0.86380832 0.77112232],[0.37124842 0.26834805],[0.87124842 0.26834805],
[0.37868852 0.76557377],[0.87868852 0.76557377],[0.38612863 0.2627995 ],
[0.88612863 0.2627995 ],[0.39356873 0.76002522],[0.89356873 0.76002522],
[0.40100883 0.25725095],[0.90100883 0.25725095],[0.40844893 0.75447667],
[0.90844893 0.75447667],[0.41588903 0.2517024 ],[0.91588903 0.2517024 ],
[0.42332913 0.74892812],[0.92332913 0.74892812],[0.43076923 0.24615385],
[0.93076923 0.24615385],[0.43820933 0.74337957],[0.93820933 0.74337957],
[0.44564943 0.2406053 ],[0.94564943 0.2406053 ],[0.45308953 0.73783102],
[0.95308953 0.73783102],[0.46052963 0.23505675],[0.96052963 0.23505675],
[0.46796974 0.73228247],[0.96796974 0.73228247],[0.47540984 0.2295082 ],
[0.97540984 0.2295082 ],[0.48284994 0.72673392],[0.98284994 0.72673392],
[0.49029004 0.22395965],[0.99029004 0.22395965],[0.49773014 0.72118537],
[0.99773014 0.72118537],[0.50517024 0.2184111 ],[0.00517024 0.2184111 ],
[0.51261034 0.71563682],[0.01261034 0.71563682],[0.52005044 0.21286255],
[0.02005044 0.21286255],[0.52749054 0.71008827],[0.02749054 0.71008827],
[0.53493064 0.207314  ],[0.03493064 0.207314  ],[0.54237074 0.70453972],
[0.04237074 0.70453972],[0.54981084 0.20176545],[0.04981084 0.20176545],
[0.55725095 0.69899117],[0.05725095 0.69899117],[0.56469105 0.1962169 ],
[0.06469105 0.1962169 ],[0.57213115 0.69344262],[0.07213115 0.69344262],
[0.57957125 0.19066835],[0.07957125 0.19066835],[0.58701135 0.68789407],
[0.08701135 0.68789407],[0.59445145 0.1851198 ],[0.09445145 0.1851198 ],
[0.60189155 0.68234552],[0.10189155 0.68234552],[0.60933165 0.17957125],
[0.10933165 0.17957125],[0.61677175 0.67679697],[0.11677175 0.67679697],
[0.62421185 0.1740227 ],[0.12421185 0.1740227 ],[0.63165195 0.67124842],
[0.13165195 0.67124842],[0.63909206 0.16847415],[0.13909206 0.16847415],
[0.64653216 0.66569987],[0.14653216 0.66569987],[0.65397226 0.1629256 ],
[0.15397226 0.1629256 ],[0.66141236 0.66015132],[0.16141236 0.66015132],
[0.66885246 0.15737705],[0.16885246 0.15737705],[0.67629256 0.65460277],
[0.17629256 0.65460277],[0.68373266 0.1518285 ],[0.18373266 0.1518285 ],
[0.69117276 0.64905422],[0.19117276 0.64905422],[0.69861286 0.14627995],
[0.19861286 0.14627995],[0.70605296 0.64350567],[0.20605296 0.64350567],
[0.71349306 0.1407314 ],[0.21349306 0.1407314 ],[0.72093317 0.63795712],
[0.22093317 0.63795712],[0.72837327 0.13518285],[0.22837327 0.13518285],
[0.73581337 0.63240858],[0.23581337 0.63240858],[0.74325347 0.1296343 ],
[0.24325347 0.1296343 ],[0.75069357 0.62686003],[0.25069357 0.62686003],
[0.75813367 0.12408575],[0.25813367 0.12408575],[0.76557377 0.62131148],
[0.26557377 0.62131148],[0.77301387 0.1185372 ],[0.27301387 0.1185372 ],
[0.78045397 0.61576293],[0.28045397 0.61576293],[0.78789407 0.11298865],
[0.28789407 0.11298865],[0.79533417 0.61021438],[0.29533417 0.61021438],
[0.80277427 0.1074401 ],[0.30277427 0.1074401 ],[0.81021438 0.60466583],
[0.31021438 0.60466583],[0.81765448 0.10189155],[0.31765448 0.10189155],
[0.82509458 0.59911728],[0.32509458 0.59911728],[0.83253468 0.096343  ],
[0.33253468 0.096343  ],[0.83997478 0.59356873],[0.33997478 0.59356873],
[0.84741488 0.09079445],[0.34741488 0.09079445],[0.85485498 0.58802018],
[0.35485498 0.58802018],[0.86229508 0.0852459 ],[0.36229508 0.0852459 ],
[0.86973518 0.58247163],[0.36973518 0.58247163],[0.87717528 0.07969735],
[0.37717528 0.07969735],[0.88461538 0.57692308],[0.38461538 0.57692308],
[0.89205549 0.0741488 ],[0.39205549 0.0741488 ],[0.89949559 0.57137453],
[0.39949559 0.57137453],[0.90693569 0.06860025],[0.40693569 0.06860025],
[0.91437579 0.56582598],[0.41437579 0.56582598],[0.92181589 0.0630517 ],
[0.42181589 0.0630517 ],[0.92925599 0.56027743],[0.42925599 0.56027743],
[0.93669609 0.05750315],[0.43669609 0.05750315],[0.94413619 0.55472888],
[0.44413619 0.55472888],[0.95157629 0.0519546 ],[0.45157629 0.0519546 ],
[0.95901639 0.54918033],[0.45901639 0.54918033],[0.96645649 0.04640605],
[0.46645649 0.04640605],[0.9738966  0.54363178],[0.4738966  0.54363178],
[0.9813367 0.0408575],[0.4813367 0.0408575],[0.9887768  0.53808323],
[0.4887768  0.53808323],[0.9962169  0.03530895],[0.4962169  0.03530895],
[0.003657   0.53253468],[0.503657   0.53253468],[0.0110971 0.0297604],
[0.5110971 0.0297604],[0.0185372  0.52698613],[0.5185372  0.52698613],
[0.0259773  0.02421185],[0.5259773  0.02421185],[0.0334174  0.52143758],
[0.5334174  0.52143758],[0.0408575 0.0186633],[0.5408575 0.0186633],
[0.0482976  0.51588903],[0.5482976  0.51588903],[0.0557377  0.01311475],
[0.5557377  0.01311475],[0.06317781 0.51034048],[0.56317781 0.51034048],
[0.07061791 0.0075662 ],[0.57061791 0.0075662 ],[0.07805801 0.50479193],
[0.57805801 0.50479193],[0.08549811 0.00201765],[0.58549811 0.00201765],
[0.09293821 0.49924338],[0.59293821 0.49924338],[0.10037831 0.9964691 ],
[0.60037831 0.9964691 ],[0.10781841 0.49369483],[0.60781841 0.49369483],
[0.11525851 0.99092055],[0.61525851 0.99092055],[0.12269861 0.48814628],
[0.62269861 0.48814628],[0.13013871 0.98537201],[0.63013871 0.98537201],
[0.13757881 0.48259773],[0.63757881 0.48259773],[0.14501892 0.97982346],
[0.64501892 0.97982346],[0.15245902 0.47704918],[0.65245902 0.47704918],
[0.15989912 0.97427491],[0.65989912 0.97427491],[0.16733922 0.47150063],
[0.66733922 0.47150063],[0.17477932 0.96872636],[0.67477932 0.96872636],
[0.18221942 0.46595208],[0.68221942 0.46595208],[0.18965952 0.96317781],
[0.68965952 0.96317781],[0.19709962 0.46040353],[0.69709962 0.46040353],
[0.20453972 0.95762926],[0.70453972 0.95762926],[0.21197982 0.45485498],
[0.71197982 0.45485498],[0.21941992 0.95208071],[0.71941992 0.95208071],
[0.22686003 0.44930643],[0.72686003 0.44930643],[0.23430013 0.94653216],
[0.73430013 0.94653216],[0.24174023 0.44375788],[0.74174023 0.44375788],
[0.24918033 0.94098361],[0.74918033 0.94098361],[0.25662043 0.43820933],
[0.75662043 0.43820933],[0.26406053 0.93543506],[0.76406053 0.93543506],
[0.27150063 0.43266078],[0.77150063 0.43266078],[0.27894073 0.92988651],
[0.77894073 0.92988651],[0.28638083 0.42711223],[0.78638083 0.42711223],
[0.29382093 0.92433796],[0.79382093 0.92433796],[0.30126103 0.42156368],
[0.80126103 0.42156368],[0.30870113 0.91878941],[0.80870113 0.91878941],
[0.31614124 0.41601513],[0.81614124 0.41601513],[0.32358134 0.91324086],
[0.82358134 0.91324086],[0.33102144 0.41046658],[0.83102144 0.41046658],
[0.33846154 0.90769231],[0.83846154 0.90769231],[0.34590164 0.40491803],
[0.84590164 0.40491803],[0.35334174 0.90214376],[0.85334174 0.90214376],
[0.36078184 0.39936948],[0.86078184 0.39936948],[0.36822194 0.89659521],
[0.86822194 0.89659521],[0.37566204 0.39382093],[0.87566204 0.39382093],
[0.38310214 0.89104666],[0.88310214 0.89104666],[0.39054224 0.38827238],
[0.89054224 0.38827238],[0.39798235 0.88549811],[0.89798235 0.88549811],
[0.40542245 0.38272383],[0.90542245 0.38272383],[0.41286255 0.87994956],
[0.91286255 0.87994956],[0.42030265 0.37717528],[0.92030265 0.37717528],
[0.42774275 0.87440101],[0.92774275 0.87440101],[0.43518285 0.37162673],
[0.93518285 0.37162673],[0.44262295 0.86885246],[0.94262295 0.86885246],
[0.45006305 0.36607818],[0.95006305 0.36607818],[0.45750315 0.86330391],
[0.95750315 0.86330391],[0.46494325 0.36052963],[0.96494325 0.36052963],
[0.47238335 0.85775536],[0.97238335 0.85775536],[0.47982346 0.35498108],
[0.97982346 0.35498108],[0.48726356 0.85220681],[0.98726356 0.85220681],
[0.49470366 0.34943253],[0.99470366 0.34943253],[0.50214376 0.84665826],
[0.00214376 0.84665826],[0.50958386 0.34388398],[0.00958386 0.34388398],
[0.51702396 0.84110971],[0.01702396 0.84110971],[0.52446406 0.33833544],
[0.02446406 0.33833544],[0.53190416 0.83556116],[0.03190416 0.83556116],
[0.53934426 0.33278689],[0.03934426 0.33278689],[0.54678436 0.83001261],
[0.04678436 0.83001261],[0.55422446 0.32723834],[0.05422446 0.32723834],
[0.56166456 0.82446406],[0.06166456 0.82446406],[0.56910467 0.32168979],
[0.06910467 0.32168979],[0.57654477 0.81891551],[0.07654477 0.81891551],
[0.58398487 0.31614124],[0.08398487 0.31614124],[0.59142497 0.81336696],
[0.09142497 0.81336696],[0.59886507 0.31059269],[0.09886507 0.31059269],
[0.60630517 0.80781841],[0.10630517 0.80781841],[0.61374527 0.30504414],
[0.11374527 0.30504414],[0.62118537 0.80226986],[0.12118537 0.80226986],
[0.62862547 0.29949559],[0.12862547 0.29949559],[0.63606557 0.79672131],
[0.13606557 0.79672131],[0.64350567 0.29394704],[0.14350567 0.29394704],
[0.65094578 0.79117276],[0.15094578 0.79117276],[0.65838588 0.28839849],
[0.15838588 0.28839849],[0.66582598 0.78562421],[0.16582598 0.78562421],
[0.67326608 0.28284994],[0.17326608 0.28284994],[0.68070618 0.78007566],
[0.18070618 0.78007566],[0.68814628 0.27730139],[0.18814628 0.27730139],
[0.69558638 0.77452711],[0.19558638 0.77452711],[0.70302648 0.27175284],
[0.20302648 0.27175284],[0.71046658 0.76897856],[0.21046658 0.76897856],
[0.71790668 0.26620429],[0.21790668 0.26620429],[0.72534678 0.76343001],
[0.22534678 0.76343001],[0.73278689 0.26065574],[0.23278689 0.26065574],
[0.74022699 0.75788146],[0.24022699 0.75788146],[0.74766709 0.25510719],
[0.24766709 0.25510719],[0.75510719 0.75233291],[0.25510719 0.75233291],
[0.76254729 0.24955864],[0.26254729 0.24955864],[0.76998739 0.74678436],
[0.26998739 0.74678436],[0.77742749 0.24401009],[0.27742749 0.24401009],
[0.78486759 0.74123581],[0.28486759 0.74123581],[0.79230769 0.23846154],
[0.29230769 0.23846154],[0.79974779 0.73568726],[0.29974779 0.73568726],
[0.80718789 0.23291299],[0.30718789 0.23291299],[0.81462799 0.73013871],
[0.31462799 0.73013871],[0.8220681  0.22736444],[0.3220681  0.22736444],
[0.8295082  0.72459016],[0.3295082  0.72459016],[0.8369483  0.22181589],
[0.3369483  0.22181589],[0.8443884  0.71904161],[0.3443884  0.71904161],
[0.8518285  0.21626734],[0.3518285  0.21626734],[0.8592686  0.71349306],
[0.3592686  0.71349306],[0.8667087  0.21071879],[0.3667087  0.21071879],
[0.8741488  0.70794451],[0.3741488  0.70794451],[0.8815889  0.20517024],
[0.3815889  0.20517024],[0.889029   0.70239596],[0.389029   0.70239596],
[0.8964691  0.19962169],[0.3964691  0.19962169],[0.90390921 0.69684741],
[0.40390921 0.69684741],[0.91134931 0.19407314],[0.41134931 0.19407314],
[0.91878941 0.69129887],[0.41878941 0.69129887],[0.92622951 0.18852459],
[0.42622951 0.18852459],[0.93366961 0.68575032],[0.43366961 0.68575032],
[0.94110971 0.18297604],[0.44110971 0.18297604],[0.94854981 0.68020177],
[0.44854981 0.68020177],[0.95598991 0.17742749],[0.45598991 0.17742749],
[0.96343001 0.67465322],[0.46343001 0.67465322],[0.97087011 0.17187894],
[0.47087011 0.17187894],[0.97831021 0.66910467],[0.47831021 0.66910467],
[0.98575032 0.16633039],[0.48575032 0.16633039],[0.99319042 0.66355612],
[0.49319042 0.66355612],[0.00063052 0.16078184],[0.50063052 0.16078184],
[0.00807062 0.65800757],[0.50807062 0.65800757],[0.01551072 0.15523329],
[0.51551072 0.15523329],[0.02295082 0.65245902],[0.52295082 0.65245902],
[0.03039092 0.14968474],[0.53039092 0.14968474],[0.03783102 0.64691047],
[0.53783102 0.64691047],[0.04527112 0.14413619],[0.54527112 0.14413619],
[0.05271122 0.64136192],[0.55271122 0.64136192],[0.06015132 0.13858764],
[0.56015132 0.13858764],[0.06759142 0.63581337],[0.56759142 0.63581337],
[0.07503153 0.13303909],[0.57503153 0.13303909],[0.08247163 0.63026482],
[0.58247163 0.63026482],[0.08991173 0.12749054],[0.58991173 0.12749054],
[0.09735183 0.62471627],[0.59735183 0.62471627],[0.10479193 0.12194199],
[0.60479193 0.12194199],[0.11223203 0.61916772],[0.61223203 0.61916772],
[0.11967213 0.11639344],[0.61967213 0.11639344],[0.12711223 0.61361917],
[0.62711223 0.61361917],[0.13455233 0.11084489],[0.63455233 0.11084489],
[0.14199243 0.60807062],[0.64199243 0.60807062],[0.14943253 0.10529634],
[0.64943253 0.10529634],[0.15687264 0.60252207],[0.65687264 0.60252207],
[0.16431274 0.09974779],[0.66431274 0.09974779],[0.17175284 0.59697352],
[0.67175284 0.59697352],[0.17919294 0.09419924],[0.67919294 0.09419924],
[0.18663304 0.59142497],[0.68663304 0.59142497],[0.19407314 0.08865069],
[0.69407314 0.08865069],[0.20151324 0.58587642],[0.70151324 0.58587642],
[0.20895334 0.08310214],[0.70895334 0.08310214],[0.21639344 0.58032787],
[0.71639344 0.58032787],[0.22383354 0.07755359],[0.72383354 0.07755359],
[0.23127364 0.57477932],[0.73127364 0.57477932],[0.23871375 0.07200504],
[0.73871375 0.07200504],[0.24615385 0.56923077],[0.74615385 0.56923077],
[0.25359395 0.06645649],[0.75359395 0.06645649],[0.26103405 0.56368222],
[0.76103405 0.56368222],[0.26847415 0.06090794],[0.76847415 0.06090794],
[0.27591425 0.55813367],[0.77591425 0.55813367],[0.28335435 0.05535939],
[0.78335435 0.05535939],[0.29079445 0.55258512],[0.79079445 0.55258512],
[0.29823455 0.04981084],[0.79823455 0.04981084],[0.30567465 0.54703657],
[0.80567465 0.54703657],[0.31311475 0.0442623 ],[0.81311475 0.0442623 ],
[0.32055485 0.54148802],[0.82055485 0.54148802],[0.32799496 0.03871375],
[0.82799496 0.03871375],[0.33543506 0.53593947],[0.83543506 0.53593947],
[0.34287516 0.0331652 ],[0.84287516 0.0331652 ],[0.35031526 0.53039092],
[0.85031526 0.53039092],[0.35775536 0.02761665],[0.85775536 0.02761665],
[0.36519546 0.52484237],[0.86519546 0.52484237],[0.37263556 0.0220681 ],
[0.87263556 0.0220681 ],[0.38007566 0.51929382],[0.88007566 0.51929382],
[0.38751576 0.01651955],[0.88751576 0.01651955],[0.39495586 0.51374527],
[0.89495586 0.51374527],[0.40239596 0.010971  ],[0.90239596 0.010971  ],
[0.40983607 0.50819672],[0.90983607 0.50819672],[0.41727617 0.00542245],
[0.91727617 0.00542245],[0.42471627 0.50264817],[0.92471627 0.50264817],
[0.43215637 0.9998739 ],[0.93215637 0.9998739 ],[0.43959647 0.49709962],
[0.93959647 0.49709962],[0.44703657 0.99432535],[0.94703657 0.99432535],
[0.45447667 0.49155107],[0.95447667 0.49155107],[0.46191677 0.9887768 ],
[0.96191677 0.9887768 ],[0.46935687 0.48600252],[0.96935687 0.48600252],
[0.47679697 0.98322825],[0.97679697 0.98322825],[0.48423707 0.48045397],
[0.98423707 0.48045397],[0.49167718 0.9776797 ],[0.99167718 0.9776797 ],
[0.49911728 0.47490542],[0.99911728 0.47490542],[0.50655738 0.97213115],
[0.00655738 0.97213115],[0.51399748 0.46935687],[0.01399748 0.46935687],
[0.52143758 0.9665826 ],[0.02143758 0.9665826 ],[0.52887768 0.46380832],
[0.02887768 0.46380832],[0.53631778 0.96103405],[0.03631778 0.96103405],
[0.54375788 0.45825977],[0.04375788 0.45825977],[0.55119798 0.9554855 ],
[0.05119798 0.9554855 ],[0.55863808 0.45271122],[0.05863808 0.45271122],
[0.56607818 0.94993695],[0.06607818 0.94993695],[0.57351828 0.44716267],
[0.07351828 0.44716267],[0.58095839 0.9443884 ],[0.08095839 0.9443884 ],
[0.58839849 0.44161412],[0.08839849 0.44161412],[0.59583859 0.93883985],
[0.09583859 0.93883985],[0.60327869 0.43606557],[0.10327869 0.43606557],
[0.61071879 0.9332913 ],[0.11071879 0.9332913 ],[0.61815889 0.43051702],
[0.11815889 0.43051702],[0.62559899 0.92774275],[0.12559899 0.92774275],
[0.63303909 0.42496847],[0.13303909 0.42496847],[0.64047919 0.9221942 ],
[0.14047919 0.9221942 ],[0.64791929 0.41941992],[0.14791929 0.41941992],
[0.65535939 0.91664565],[0.15535939 0.91664565],[0.6627995  0.41387137],
[0.1627995  0.41387137],[0.6702396 0.9110971],[0.1702396 0.9110971],
[0.6776797  0.40832282],[0.1776797  0.40832282],[0.6851198  0.90554855],
[0.1851198  0.90554855],[0.6925599  0.40277427],[0.1925599  0.40277427],
[0.7 0.9],[0.2 0.9],[0.7074401  0.39722573],
[0.2074401  0.39722573],[0.7148802  0.89445145],[0.2148802  0.89445145],
[0.7223203  0.39167718],[0.2223203  0.39167718],[0.7297604 0.8889029],
[0.2297604 0.8889029],[0.7372005  0.38612863],[0.2372005  0.38612863],
[0.74464061 0.88335435],[0.24464061 0.88335435],[0.75208071 0.38058008],
[0.25208071 0.38058008],[0.75952081 0.8778058 ],[0.25952081 0.8778058 ],
[0.76696091 0.37503153],[0.26696091 0.37503153],[0.77440101 0.87225725],
[0.27440101 0.87225725],[0.78184111 0.36948298],[0.28184111 0.36948298],
[0.78928121 0.8667087 ],[0.28928121 0.8667087 ],[0.79672131 0.36393443],
[0.29672131 0.36393443],[0.80416141 0.86116015],[0.30416141 0.86116015],
[0.81160151 0.35838588],[0.31160151 0.35838588],[0.81904161 0.8556116 ],
[0.31904161 0.8556116 ],[0.82648172 0.35283733],[0.32648172 0.35283733],
[0.83392182 0.85006305],[0.33392182 0.85006305],[0.84136192 0.34728878],
[0.34136192 0.34728878],[0.84880202 0.8445145 ],[0.34880202 0.8445145 ],
[0.85624212 0.34174023],[0.35624212 0.34174023],[0.86368222 0.83896595],
[0.36368222 0.83896595],[0.87112232 0.33619168],[0.37112232 0.33619168],
[0.87856242 0.8334174 ],[0.37856242 0.8334174 ],[0.88600252 0.33064313],
[0.38600252 0.33064313],[0.89344262 0.82786885],[0.39344262 0.82786885],
[0.90088272 0.32509458],[0.40088272 0.32509458],[0.90832282 0.8223203 ],
[0.40832282 0.8223203 ],[0.91576293 0.31954603],[0.41576293 0.31954603],
[0.92320303 0.81677175],[0.42320303 0.81677175],[0.93064313 0.31399748],
[0.43064313 0.31399748],[0.93808323 0.8112232 ],[0.43808323 0.8112232 ],
[0.94552333 0.30844893],[0.44552333 0.30844893],[0.95296343 0.80567465],
[0.45296343 0.80567465],[0.96040353 0.30290038],[0.46040353 0.30290038],
[0.96784363 0.8001261 ],[0.46784363 0.8001261 ],[0.97528373 0.29735183],
[0.47528373 0.29735183],[0.98272383 0.79457755],[0.48272383 0.79457755],
[0.99016393 0.29180328],[0.49016393 0.29180328],[0.99760404 0.789029  ],
[0.49760404 0.789029  ],[0.00504414 0.28625473],[0.50504414 0.28625473],
[0.01248424 0.78348045],[0.51248424 0.78348045],[0.01992434 0.28070618],
[0.51992434 0.28070618],[0.02736444 0.7779319 ],[0.52736444 0.7779319 ],
[0.03480454 0.27515763],[0.53480454 0.27515763],[0.04224464 0.77238335],
[0.54224464 0.77238335],[0.04968474 0.26960908],[0.54968474 0.26960908],
[0.05712484 0.7668348 ],[0.55712484 0.7668348 ],[0.06456494 0.26406053],
[0.56456494 0.26406053],[0.07200504 0.76128625],[0.57200504 0.76128625],
[0.07944515 0.25851198],[0.57944515 0.25851198],[0.08688525 0.7557377 ],
[0.58688525 0.7557377 ],[0.09432535 0.25296343],[0.59432535 0.25296343],
[0.10176545 0.75018916],[0.60176545 0.75018916],[0.10920555 0.24741488],
[0.60920555 0.24741488],[0.11664565 0.74464061],[0.61664565 0.74464061],
[0.12408575 0.24186633],[0.62408575 0.24186633],[0.13152585 0.73909206],
[0.63152585 0.73909206],[0.13896595 0.23631778],[0.63896595 0.23631778],
[0.14640605 0.73354351],[0.64640605 0.73354351],[0.15384615 0.23076923],
[0.65384615 0.23076923],[0.16128625 0.72799496],[0.66128625 0.72799496],
[0.16872636 0.22522068],[0.66872636 0.22522068],[0.17616646 0.72244641],
[0.67616646 0.72244641],[0.18360656 0.21967213],[0.68360656 0.21967213],
[0.19104666 0.71689786],[0.69104666 0.71689786],[0.19848676 0.21412358],
[0.69848676 0.21412358],[0.20592686 0.71134931],[0.70592686 0.71134931],
[0.21336696 0.20857503],[0.71336696 0.20857503],[0.22080706 0.70580076],
[0.72080706 0.70580076],[0.22824716 0.20302648],[0.72824716 0.20302648],
[0.23568726 0.70025221],[0.73568726 0.70025221],[0.24312736 0.19747793],
[0.74312736 0.19747793],[0.25056747 0.69470366],[0.75056747 0.69470366],
[0.25800757 0.19192938],[0.75800757 0.19192938],[0.26544767 0.68915511],
[0.76544767 0.68915511],[0.27288777 0.18638083],[0.77288777 0.18638083],
[0.28032787 0.68360656],[0.78032787 0.68360656],[0.28776797 0.18083228],
[0.78776797 0.18083228],[0.29520807 0.67805801],[0.79520807 0.67805801],
[0.30264817 0.17528373],[0.80264817 0.17528373],[0.31008827 0.67250946],
[0.81008827 0.67250946],[0.31752837 0.16973518],[0.81752837 0.16973518],
[0.32496847 0.66696091],[0.82496847 0.66696091],[0.33240858 0.16418663],
[0.83240858 0.16418663],[0.33984868 0.66141236],[0.83984868 0.66141236],
[0.34728878 0.15863808],[0.84728878 0.15863808],[0.35472888 0.65586381],
[0.85472888 0.65586381],[0.36216898 0.15308953],[0.86216898 0.15308953],
[0.36960908 0.65031526],[0.86960908 0.65031526],[0.37704918 0.14754098],
[0.87704918 0.14754098],[0.38448928 0.64476671],[0.88448928 0.64476671],
[0.39192938 0.14199243],[0.89192938 0.14199243],[0.39936948 0.63921816],
[0.89936948 0.63921816],[0.40680958 0.13644388],[0.90680958 0.13644388],
[0.41424968 0.63366961],[0.91424968 0.63366961],[0.42168979 0.13089533],
[0.92168979 0.13089533],[0.42912989 0.62812106],[0.92912989 0.62812106],
[0.43656999 0.12534678],[0.93656999 0.12534678],[0.44401009 0.62257251],
[0.94401009 0.62257251],[0.45145019 0.11979823],[0.95145019 0.11979823],
[0.45889029 0.61702396],[0.95889029 0.61702396],[0.46633039 0.11424968],
[0.96633039 0.11424968],[0.47377049 0.61147541],[0.97377049 0.61147541],
[0.48121059 0.10870113],[0.98121059 0.10870113],[0.48865069 0.60592686],
[0.98865069 0.60592686],[0.49609079 0.10315259],[0.99609079 0.10315259],
[0.5035309  0.60037831],[0.0035309  0.60037831],[0.510971   0.09760404],
[0.010971   0.09760404],[0.5184111  0.59482976],[0.0184111  0.59482976],
[0.5258512  0.09205549],[0.0258512  0.09205549],[0.5332913  0.58928121],
[0.0332913  0.58928121],[0.5407314  0.08650694],[0.0407314  0.08650694],
[0.5481715  0.58373266],[0.0481715  0.58373266],[0.5556116  0.08095839],
[0.0556116  0.08095839],[0.5630517  0.57818411],[0.0630517  0.57818411],
[0.5704918  0.07540984],[0.0704918  0.07540984],[0.5779319  0.57263556],
[0.0779319  0.57263556],[0.58537201 0.06986129],[0.08537201 0.06986129],
[0.59281211 0.56708701],[0.09281211 0.56708701],[0.60025221 0.06431274],
[0.10025221 0.06431274],[0.60769231 0.56153846],[0.10769231 0.56153846],
[0.61513241 0.05876419],[0.11513241 0.05876419],[0.62257251 0.55598991],
[0.12257251 0.55598991],[0.63001261 0.05321564],[0.13001261 0.05321564],
[0.63745271 0.55044136],[0.13745271 0.55044136],[0.64489281 0.04766709],
[0.14489281 0.04766709],[0.65233291 0.54489281],[0.15233291 0.54489281],
[0.65977301 0.04211854],[0.15977301 0.04211854],[0.66721311 0.53934426],
