[0.94281046 0.16522266],[0.84150327 0.43096541],[0.83823529 1.0363967 ],
[0.7369281  1.30213945],[0.38235294 0.70017436],[0.85457516 0.36626283],
[0.37908497 1.30560566],[0.75       1.23743687],[0.17320261 1.26401114],
[0.64542484 0.93009961],[0.29084967 0.32813452],[0.18954248 0.59387726],
[0.18627451 1.19930856],[0.55718954 1.13113977],[0.20261438 0.52917468],
[0.19934641 1.13460598],[0.09803922 1.40034872],[0.95915033 1.02715348],
[0.02777778 0.45176267],[0.5        0.11785113],[0.39869281 0.38359387],
[0.87091503 0.04968234],[0.39542484 0.98902517],[0.86764706 0.65511364],
[0.04084967 0.38706008],[0.76633987 0.92085638],[0.41176471 0.31889129],
[0.40849673 0.92432259],[0.30718954 1.19006533],[0.77941176 0.8561538 ],
[0.21895425 0.2125942 ],[0.21568627 0.81802549],[0.9754902  0.71057299],
[0.13071895 0.41363436],[0.62091503 0.1086079 ],[0.97222222 1.31600429],
[0.12745098 1.01906566],[0.61764706 0.7140392 ],[0.99183007 0.04043911],
[0.98856209 0.64587041],[0.98529412 1.25130171],[0.14052288 0.95436307],
[0.42810458 0.00231081],[0.07026144 0.00577702],[0.79575163 0.53957331],
[0.79248366 1.14500461],[0.33986928 0.20335097],[0.4379085  0.54303952],
[0.33660131 0.80878227],[0.70751634 0.74061348],[0.70424837 1.34604477],
[0.3496732  0.74407968],[0.71732026 1.28134219],[0.64705882 0.33275613],
[0.54575163 0.59849888],[0.54248366 1.20393017],[0.91666667 0.53033009],
[0.91339869 1.13576138],[0.55882353 0.5337963 ],[0.45424837 1.40497034],
[0.92647059 1.0710588 ],[0.36601307 0.4274992 ],[0.85620915 0.12247274],
[0.3627451  1.03293049],[0.26143791 1.29867324],[0.27777778 0.62853936],
[0.76797386 0.32351291],[0.2745098  1.23397066],[0.2875817  1.16926808],
[0.5751634  0.21721581],[0.57189542 0.8226471 ],[0.47058824 1.08838985],
[0.94281046 0.75447831],[0.11601307 0.48642476],[0.58823529 0.15251323],
[0.93954248 1.35990961],[0.1127451  1.09185606],[0.4869281  0.41825597],
[0.58496732 0.75794452],[0.48366013 1.02368727],[0.38235294 1.28943001],
[0.12908497 0.42172218],[0.95588235 0.68977573],[0.85457516 0.95551848],
[0.95261438 1.29520703],[0.49673203 0.95898469],[0.78431373 0.00693242],
[0.29084967 0.91739017],[0.69607843 0.20797258],[0.79411765 0.54766113],
[0.69281046 0.81340388],[0.33823529 0.21143879],[0.70588235 0.7487013 ],
[0.13235294 0.16984428],[0.5        0.70710678],[0.14542484 0.10514169],
[0.14215686 0.71057299],[0.51633987 0.0369729 ],[0.86764706 1.24436929],
[0.04084967 0.97631574],[0.5130719 0.6424042],[0.15849673 0.04043911],
[0.50980392 1.2478355 ],[0.05718954 0.30618186],[0.05392157 0.91161315],
[0.52614379 0.57770162],[0.4248366  0.84344436],[0.70915033 0.49682339],
[0.72222222 0.43212081],[0.71895425 1.03755211],[0.26633987 0.09589847],
[0.61764706 1.30329485],[0.2630719  0.70132977],[0.73529412 0.36741823],
[0.25980392 1.30676106],[0.63398693 0.63316097],[0.63071895 1.23859227],
[0.07026144 0.59503267],[0.93137255 0.22183742],[0.4379085  1.13229517],
[0.08333333 0.53033009],[0.08006536 1.13576138],[0.94444444 0.15713484],
[0.84313725 0.42287758],[0.45098039 1.06759259],[0.3496732  1.33333534],
[0.27941176 0.38474928],[0.75163399 0.05083774],[0.64705882 0.92201178],
[0.29248366 0.3200467 ],[0.19117647 0.58578944],[0.28921569 0.92547799],
[0.66339869 0.25187791],[0.1879085  1.19122074],[0.66013072 0.8573092 ],
[0.55882353 1.12305195],[0.20424837 0.52108686],[0.67647059 0.18717532],
[0.20098039 1.12651816],[0.67320261 0.79260662],[0.0996732 0.2137496],
[0.85620915 0.71172839],[0.01143791 0.41478976],[0.50163399 0.10976331],
[0.00816993 1.02022106],[0.87254902 0.04159452],[0.86928105 0.64702581],
[0.0245098  0.35008718],[0.76797386 0.91276856],[0.86601307 1.25245711],
[0.02124183 0.95551848],[0.88235294 0.58232323],[0.78104575 0.84806598],
[0.22058824 0.20450637],[0.21732026 0.80993767],[0.58823529 0.74176888],
[0.23366013 0.13980379],[0.58496732 1.34720017],[0.23039216 0.74523509],
[0.12908497 1.01097783],[0.60130719 0.6770663 ],[0.59803922 1.28249759],
[0.42647059 0.59965428],[0.89869281 0.26574274],[0.79738562 0.53148549],
[0.79411765 1.13691679],[0.43954248 0.5349517 ],[0.33823529 0.80069444],
[0.91176471 0.20104016],[0.81045752 0.46678291],[0.80718954 1.0722142 ],
[0.70588235 1.33795695],[0.35130719 0.73599186],[0.82352941 0.40208033],
[0.34803922 1.34142316],[0.24673203 0.4286546 ],[0.14215686 1.29982864],
[0.15849673 0.62969476],[0.64869281 0.32466831],[0.15522876 1.23512606],
[0.52614379 1.16695727],[0.17156863 0.56499218],[0.16830065 1.17042348],
[0.92810458 1.06297098],[0.46895425 0.15366863],[0.36764706 0.41941138],
[0.83986928 0.08549984],[0.36437908 1.02484267],[0.83660131 0.69093114],
[0.00980392 0.42287758],[0.73529412 0.95667388],[0.38071895 0.35470879],
[0.37745098 0.96014009],[0.27614379 1.22588283],[0.74836601 0.8919713 ],
[0.57679739 0.20912799],[0.57352941 0.81455928],[0.94444444 0.74639049],
[0.58986928 0.1444254 ],[0.94117647 1.35182179],[0.09640523 1.05488316],
[0.58660131 0.7498567 ],[0.95751634 0.68168791],[0.60294118 0.07972282],
[0.95424837 1.28711921],[0.02614379 0.1062971 ],[0.49836601 0.95089686],
[0.97058824 0.61698533],[0.39705882 0.03812831],[0.39379085 0.6435596 ],
[0.03921569 0.04159452],[0.76143791 1.18082211],[0.30882353 0.23916847],
[0.40686275 0.57885702],[0.30555556 0.84459977],[0.67647059 0.77643098],
[0.67320261 1.38186227],[0.31862745 0.77989719],[0.97385621 0.36510742],
[0.14705882 0.09705387],[0.14379085 0.70248517],[0.51797386 0.02888508],
[0.61601307 0.36857363],[0.51470588 0.63431638],[0.9869281  0.30040484],
[0.16013072 0.03235129],[0.51143791 1.23974767],[0.88562092 0.56614759],
[0.98366013 0.90583614],[0.88235294 1.17157888],[0.52777778 0.5696138 ],
[0.89542484 1.1068763 ],[0.33496732 0.4633167 ],[0.8251634  0.15829024],
[0.33169935 1.06874799],[0.23039216 1.33449074],[0.7369281  0.35933041],
[0.24346405 1.26978816],[0.25653595 1.20508558],[0.17320261 0.3212021 ],
[0.07189542 0.58694484],[0.54411765 0.25303331],[0.06862745 1.19237614],
[0.54084967 0.85846461],[0.43954248 1.12420735],[0.18627451 0.25649952],
[0.91176471 0.79029581],[0.08496732 0.52224226],[0.55718954 0.18833073],
[0.90849673 1.39572711],[0.08169935 1.12767356],[0.45588235 0.45407347],
[0.55392157 0.79376202],[0.45261438 1.05950477],[0.09803922 0.45753968],
[0.82352941 0.99133598],[0.46568627 0.99480219],[0.75326797 0.04274992],
[0.64869281 0.91392396],[0.39542484 0.04621613],[0.66503268 0.24379008],
[0.7630719  0.58347863],[0.66176471 0.84922138],[0.30718954 0.24725629],
[0.6748366 0.7845188],[0.10130719 0.20566178],[0.46895425 0.74292428],
[0.11437908 0.14095919],[0.11111111 0.74639049],[0.48529412 0.0727904 ],
[0.00980392 1.01213324],[0.48202614 0.6782217 ],[0.97222222 0.37319525],
[0.12745098 0.07625661],[0.47875817 1.283653  ],[0.02287582 0.94743065],
[0.88398693 0.57423541],[0.67810458 0.53264089],[0.32026144 0.5361071 ],
[0.79248366 0.20219557],[0.69117647 0.46793831],[0.6879085  1.07336961],
[0.23529412 0.13171597],[0.58660131 1.33911235],[0.23202614 0.73714727],
[0.70424837 0.40323573],[0.22875817 1.34257856],[0.60294118 0.66897847],
[0.5996732  1.27440977],[0.97058824 1.20624098],[0.8872549 0.3223575],
[0.6127451  1.20970719],[0.03921569 0.63085017],[0.9003268  0.25765492],
[0.40686275 1.16811267],[0.05228758 0.56614759],[0.04901961 1.17157888],
[0.91339869 0.19295234],[0.8120915  0.45869509],[0.31862745 1.36915284],
[0.06535948 0.501445  ],[0.80882353 1.06412638],[0.82189542 0.9994238 ],
[0.24836601 0.42056678],[0.72058824 0.08665524],[0.61601307 0.95782928],
[0.26143791 0.3558642 ],[0.16013072 0.62160694],[0.25816993 0.96129549],
[0.63235294 0.28769541],[0.15686275 1.22703824],[0.62908497 0.8931267 ],
[0.52777778 1.15886945],[0.2745098  0.29116162],[0.16993464 1.16233566],
[0.64215686 0.82842412],[0.45751634 0.21028339],[0.8251634  0.74754589],
[0.47058824 0.14558081],[0.46732026 0.7510121 ],[0.84150327 0.07741202],
[0.83823529 0.68284331],[0.7369281  0.94858606],[0.48366013 0.08087823],
[0.83496732 1.28827461],[0.38235294 0.34662097],[0.85457516 0.01270944],
[0.37908497 0.95205227],[0.85130719 0.61814073],[0.75       0.88388348],
[0.64542484 0.57654622],[0.18954248 0.24032387],[0.18627451 0.84575517],
[0.20261438 0.17562129],[0.55392157 1.38301767],[0.19934641 0.78105259],
[0.09803922 1.04679533],[0.19607843 1.38648388],[0.95915033 0.67360009],
[0.56699346 1.31831509],[0.02777778 0.09820928],[0.39869281 0.03004048],
[0.39542484 0.63547178],[0.86764706 0.30156024],[0.04084967 0.03350669],
[0.7630719  1.17273429],[0.40849673 0.5707692 ],[0.30718954 0.83651194],
[0.40522876 1.1762005 ],[0.77941176 0.50260041],[0.77614379 1.1080317 ],
[0.6748366  1.37377445],[0.31699346 1.37724066],[0.21568627 0.4644721 ],
[0.11111111 1.33564614],[0.97222222 0.9624509 ],[0.12745098 0.66551226],
[0.61764706 0.36048581],[0.12418301 1.27094356],[0.61437908 0.96591711],
[0.98856209 0.29231702],[0.98529412 0.89774832],[0.14052288 0.60080968],
[0.88398693 1.16349106],[0.1372549  1.20624098],[0.89705882 1.09878848],
[0.32026144 1.12536275],[0.79248366 0.79145122],[0.4379085  0.18948613],
[0.33660131 0.45522888],[0.33333333 1.06066017],[0.70424837 0.99249138],
[0.3496732  0.39052629],[0.34640523 0.99595759],[0.24509804 1.26170034],
[0.71732026 0.9277888 ],[0.54575163 0.24494549],[0.54248366 0.85037678],
[0.1879085 0.2484117],[0.91339869 0.78220799],[0.55882353 0.18024291],
[0.91013072 1.38763929],[0.06535948 1.09070066],[0.55555556 0.7856742 ],
[0.45424837 1.05141695],[0.92647059 0.71750541],[0.92320261 1.32293671],
[0.36601307 0.07394581],[0.3627451 0.6793771],[0.00816993 0.07741202],
[0.27777778 0.27498597],[0.2745098  0.88041727],[0.76470588 0.57539081],
[0.2875817  0.81571469],[0.57189542 0.46909371],[0.94281046 0.40092492],
[0.11601307 0.13287137],[0.46732026 1.34026776],[0.93954248 1.00635622],
[0.1127451  0.73830267],[0.4869281  0.06470258],[0.58496732 0.40439113],
[0.48366013 0.67013388],[0.95588235 0.33622234],[0.12908497 0.06816879],
[0.48039216 1.27556517],[0.95261438 0.94165364],[0.85130719 1.20739638],
[0.49673203 0.6054313 ],[0.49346405 1.21086259],[0.86437908 1.1426938 ],
[0.79411765 0.19410774],[0.69281046 0.45985049],[0.19934641 1.37030824],
[0.68954248 1.06528178],[0.70588235 0.39514791],[0.2124183  1.30560566],
[0.70261438 1.0005792 ],[0.14215686 0.3570196 ],[0.04084967 0.62276234],
[0.5130719  0.28885081],[0.0375817  1.22819364],[0.50980392 0.89428211],
[0.40849673 1.16002485],[0.15522876 0.29231702],[0.05392157 0.55805976],
[0.52614379 0.22414823],[0.05065359 1.16349106],[0.4248366  0.48989097],
[0.52287582 0.82957952],[0.42156863 1.09532227],[0.06699346 0.49335718],
[0.43464052 1.03061969],[0.72222222 0.07856742],[0.71895425 0.68399872],
[0.61764706 0.94974146],[0.36437908 0.08203363],[0.2630719  0.34777637],
[0.73529412 0.01386484],[0.25980392 0.95320767],[0.63398693 0.27960758],
[0.73202614 0.61929614],[0.63071895 0.88503888],[0.27614379 0.28307379],
[0.64379085 0.8203363 ],[0.07026144 0.24147928],[0.08333333 0.1767767 ],
[0.08006536 0.78220799],[0.84313725 0.06932419],[0.45098039 0.7140392 ],
[0.94117647 0.40901275],[0.09640523 0.11207411],[0.44771242 1.3194705 ],
[0.85294118 0.61005291],[0.27941176 0.03119589],[0.28921569 0.5719246 ],
[0.1879085  0.83766735],[0.76143791 0.23801307],[0.66013072 0.50375581],
[0.65686275 1.10918711],[0.20424837 0.16753347],[0.55555556 1.37492985],
[0.20098039 0.77296477],[0.67320261 0.43905323],[0.19771242 1.37839606],
[0.56862745 1.31022727],[0.58169935 1.24552469],[0.00816993 0.66666767],
[0.00490196 1.27209896],[0.86928105 0.29347242],[0.86601307 0.89890372],
[0.02124183 0.60196509],[0.76470588 1.16464646],[0.01797386 1.20739638],
[0.88235294 0.22876984],[0.78104575 0.49451259],[0.2875817  1.40497034],
[0.77777778 1.09994388],[0.79084967 1.0352413 ],[0.21732026 0.45638428],
[0.58496732 0.99364678],[0.23039216 0.3916817 ],[0.12908497 0.65742444],
[0.22712418 0.99711299],[0.60130719 0.32351291],[0.12581699 1.26285574],
[0.59803922 0.9289442 ],[0.49673203 1.19468695],[0.24346405 0.32697912],
[0.13888889 1.19815316],[0.42647059 0.24610089],[0.06862745 0.2495671 ],
[0.79411765 0.78336339],[0.43954248 0.18139831],[0.33823529 0.44714105],
[0.43627451 0.7868296 ],[0.81045752 0.11322952],[0.90849673 0.45291807],
[0.80718954 0.71866081],[0.70588235 0.98440356],[0.45261438 0.11669573],
[0.80392157 1.32409211],[0.35130719 0.38243847],[0.82352941 0.04852694],
[0.34803922 0.98786977],[0.82026144 0.65395823],[0.24673203 0.07510121],
[0.15849673 0.27614137],[0.15522876 0.88157267],[0.17156863 0.21143879],
[0.16830065 0.81687009],[0.06699346 1.08261283],[0.92810458 0.70941759],
[0.9248366  1.31484888],[0.36764706 0.06585798],[0.36437908 0.67128928],
[0.83660131 0.33737775],[0.00980392 0.06932419],[0.38071895 0.0011554 ],
[0.73202614 1.20855179],[0.37745098 0.6065867 ],[0.27614379 0.87232944],
[0.37418301 1.212018  ],[0.74836601 0.53841791],[0.74509804 1.1438492 ],
[0.64379085 1.40959195],[0.28594771 1.41305816],[0.57352941 0.46100589],
[0.08006536 1.37146364],[0.94117647 0.9982684 ],[0.09640523 0.70132977],
[0.58660131 0.39630331],[0.09313725 1.30676106],[0.58333333 1.00173461],
[0.95751634 0.32813452],[0.95424837 0.93356582],[0.85294118 1.19930856],
[0.49836601 0.59734347],[0.97058824 0.26343194],[0.49509804 1.20277477],
[0.39379085 0.29000621],[0.28921569 1.16118025],[0.76143791 0.82726872],
[0.40686275 0.22530363],[0.30555556 0.49104638],[0.30228758 1.09647767],
[0.67320261 1.02830888],[0.31862745 0.42634379],[0.31535948 1.03177509],
[0.21405229 1.29751784],[0.14379085 0.34893178],[0.61601307 0.01502024],
[0.51470588 0.28076299],[0.51143791 0.88619428],[0.98366013 0.55228275],
[0.15686275 0.2842292 ],[0.88235294 0.81802549],[0.52777778 0.21606041],
[0.5245098 0.8214917],[0.42320261 1.08723445],[0.89542484 0.75332291],
[0.89215686 1.35875421],[0.33496732 0.10976331],[0.33169935 0.7151946 ],
[0.7369281  0.00577702],[0.24346405 0.91623477],[0.73366013 0.61120831],
[0.25653595 0.85153219],[0.06862745 0.83882275],[0.54084967 0.50491121],
[0.91176471 0.43674242],[0.08496732 0.16868887],[0.43627451 1.37608526],
[0.90849673 1.04217372],[0.08169935 0.77412017],[0.55392157 0.44020863],
[0.07843137 1.37955147],[0.45261438 0.70595138],[0.09803922 0.10398629],
[0.44934641 1.31138267],[0.09477124 0.70941759],[0.82026144 1.24321388],
[0.46568627 0.6412488 ],[0.4624183  1.24668009],[0.83333333 1.1785113 ],
[0.7630719  0.22992524],[0.66176471 0.49566799],[0.16830065 1.40612574],
