[0.20357143 1.68128959],[-0.26428571  2.16388198],[0.42857143 2.02377451],
[0.24642857 0.32691742],[-0.06428571  0.8250773 ],[0.8375     0.24129619],
[0.05892857 1.22204845],[0.36964286 0.72388857],[0.28392857 1.56453337],
[-0.02678571  2.06269325],[0.1625     2.17166572],[0.57142857 0.38918741],
[0.01607143 0.70832108],[-0.48214286  2.10161199],[0.48571429 1.2298322 ],
[0.175      1.72799208],[0.60892857 1.62680336],[0.29821429 2.12496323],
[0.02857143 0.26464744],[0.21785714 0.37361991],[0.65178571 0.27243118],
[-0.09285714  0.87177979],[0.03035714 1.26875094],[-0.28035714  1.76691082],
[0.62142857 1.18312971],[-0.15714286  2.16388198],[0.34107143 0.77059106],
[0.15357143 1.6657221 ],[0.35357143 0.32691742],[-0.11428571  0.8095098 ],
[0.47678571 0.72388857],[0.66607143 0.83286105],[0.35535714 1.33102093],
[0.47857143 1.72799208],[0.26964286 2.17166572],[0.0875     0.47480863],
[0.67857143 0.38918741],[0.36785714 0.88734728],[-0.1         1.36993967],
[-0.1875      1.20648096],[0.43571429 1.21426471],[0.125      1.71242458],
[-0.30892857  1.81361331],[0.40535714 2.12496323],[0.1        0.03113499],
[0.325      0.37361991],[-0.14285714  0.85621229],[0.75892857 0.27243118],
[0.1375     1.26875094],[-0.33035714  1.75134333],[0.44821429 0.77059106],
[-0.05        2.16388198],[0.26071429 1.6657221 ],[0.45       1.77469457],
[0.30357143 0.31134992],[-0.00714286  0.8095098 ],[0.65       0.43588989],
[0.18214286 0.91848228],[-0.12857143  1.41664216],[0.4625     1.33102093],
[0.15178571 1.82918081],[0.77321429 0.83286105],[0.58571429 1.72799208],
[-0.40357143  2.14831448],[0.00535714 0.36583616],[0.19464286 0.47480863],
[-0.11607143  0.97296851],[0.31785714 0.87177979],[0.00714286 1.36993967],
[0.62857143 0.37361991],[0.54285714 1.21426471],[0.23214286 1.71242458],
[0.05      0.0155675],[0.83035714 0.03891874],[0.64285714 0.93404977],
[-0.03571429  0.85621229],[0.55535714 0.77059106],[0.0875     1.25318345],
[-0.22321429  1.75134333],[0.43392857 1.37772342],[-0.03392857  1.8603158 ],
[0.55714286 1.77469457],[0.375      0.07783748],[-0.21071429  1.30766968],
[0.6       0.4203224],[0.28928571 0.91848228],[-0.02142857  1.41664216],
[-0.33214286  1.91480204],[0.10178571 1.81361331],[0.4125     1.31545343],
[0.02142857 0.06226998],[0.30178571 0.47480863],[-0.16607143  0.95740102],
[0.425      0.87177979],[0.11428571 1.36993967],[-0.35357143  1.85253205],
[0.61428571 0.98075226],[0.73571429 0.37361991],[0.42678571 1.8758833 ],
[0.33928571 1.71242458],[0.15714286 0.0155675 ],[0.28035714 0.41253865],
[0.9375     0.03891874],[0.62678571 0.53707862],[0.15892857 1.019671  ],
[-0.15178571  1.51783088],[0.07142857 0.85621229],[0.07321429 1.8603158 ],
[0.48214286 0.07783748],[0.70714286 0.4203224 ],[0.39642857 0.91848228],
[0.08571429 1.41664216],[-0.38214286  1.89923454],[0.20892857 1.81361331],
[0.51964286 1.31545343],[0.39821429 1.92258578],[0.12857143 0.06226998],
[0.25178571 0.45924114],[-0.05892857  0.95740102],[0.90892857 0.08562123],
[0.53214286 0.87177979],[0.06428571 1.35437217],[0.72142857 0.98075226],
[0.41071429 1.47891214],[-0.05714286  1.96150452],[0.53392857 1.8758833 ],
[0.26428571 0.0155675 ],[0.45357143 0.12453997],[0.14285714 0.62269985],
[0.57678571 0.52151112],[0.26607143 1.019671  ],[-0.04464286  1.51783088],
[0.18035714 1.8603158 ],[-0.00178571  0.16345871],[0.58928571 0.07783748],
[0.59107143 1.08194099],[-0.0875      1.00410351],[0.34642857 0.90291478],
[0.03571429 1.40107466],[-0.275       1.89923454],[0.31607143 1.81361331],
[0.81428571 0.4203224 ],[0.50535714 1.92258578],[0.23571429 0.06226998],
[0.35892857 0.45924114],[0.04821429 0.95740102],[0.54821429 0.56821361],
[0.2375     1.06637349],[-0.07321429  1.56453337],[0.36071429 1.46334465],
[0.05       1.96150452],[-0.03035714  0.2101612 ],[0.56071429 0.12453997],
[0.09285714 0.60713235],[-0.21785714  1.10529223],[0.37321429 1.019671  ],
[0.0625     1.51783088],[-0.40535714  2.00042327],[0.68392857 0.52151112],
[0.375      2.02377451],[0.59821429 1.36215592],[0.13035714 1.8447483 ],
[0.10535714 0.16345871],[0.53928571 0.06226998],[0.22857143 0.56042986],
[0.88571429 0.18680995],[0.69821429 1.08194099],[0.01964286 1.00410351],
[0.14285714 1.40107466],[-0.16785714  1.89923454],[0.02142857 2.00820701],
[0.43035714 0.2257287 ],[0.11964286 0.72388857],[-0.125       0.54486237],
[0.65535714 0.56821361],[0.34464286 1.06637349],[-0.12321429  1.54896587],
[-0.43392857  2.04712575],[0.15714286 1.96150452],[0.46785714 1.46334465],
[0.07678571 0.2101612 ],[0.51071429 0.10897247],[0.2        0.60713235],
[-0.11071429  1.10529223],[0.79107143 0.52151112],[0.0125     1.50226339],
[-0.29821429  2.00042327],[0.66964286 1.12864348],[0.32321429 1.00410351],
[0.48214286 2.02377451],[0.2125     0.16345871],[0.33571429 0.56042986],
[0.83571429 0.17124246],[0.525      0.66940234],[0.21428571 1.16756222],
[-0.09642857  1.6657221 ],[0.3375     1.56453337],[-0.34107143  1.48669589],
[0.12857143 2.00820701],[-0.05357143  0.31134992],[0.5375    0.2257287],
[0.06964286 0.70832108],[0.7625     0.56821361],[0.29464286 1.050806  ],
[-0.01607143  1.54896587],[-0.32678571  2.04712575],[0.10714286 1.94593703],
[0.575      1.46334465],[0.45357143 2.070477  ],[0.61785714 0.10897247],
[0.30714286 0.60713235],[-0.00357143  1.10529223],[0.49642857 0.71610483],
[-0.19107143  2.00042327],[0.11964286 1.50226339],[0.30892857 1.61123586],
[-1.78571429e-03  2.10939574e+00],[0.61964286 1.11307598],[-0.14821429  0.64605109],
[0.50892857 0.27243118],[0.04107143 0.75502357],[-0.26964286  1.25318345],
[0.32142857 1.16756222],[0.63214286 0.66940234],[-0.45714286  2.14831448],
[-0.14642857  1.6501546 ],[0.94285714 0.17124246],[0.05357143 0.31134992],
[0.4875    0.2101612],[0.17678571 0.70832108],[0.64642857 1.2298322 ],
[0.40178571 1.050806  ],[0.09107143 1.54896587],[-0.21964286  2.04712575],
