[0.21605603 0.55167336],[0.890625   0.12401959],[0.21443966 0.76692576],
[-0.01885776  0.47184466],[0.04795259 1.27583374],[-0.07704741  1.11047428],
[0.65571121 0.04419089],[-0.18211207  0.71560731],[0.29094828 0.44475992],
[0.59752155 0.68282052],[-0.34859914  1.22451529],[0.43103448 1.1917285 ],
[0.12446121 0.9536679 ],[0.96551724 0.01710615],[0.4924569  0.28795354],
[0.79903017 0.52601413],[-0.10560345  0.39344147],[0.32596983 0.79686152],
[0.05603448 0.36493122],[0.09590517 0.23663508],[-0.11045259  0.8738392 ],
[0.19612069 1.1118998 ],[0.09105603 0.71703282],[0.1325431  0.04276538],
[-0.07543103  1.2259408 ],[-0.03394397  0.55167336],[0.56411638 0.44618543],
[-0.20043103  1.06058134],[0.39762931 0.95509342],[0.765625   0.28937905],
[0.59913793 0.79828703],[0.16756466 0.39486698],[0.640625   0.12401959],
[0.47413793 0.63292758],[-0.36368534  1.30434399],[0.31088362 0.87669022],
[-0.06734914  0.31503828],[0.40571121 0.04419089],[-0.23383621  0.82394626],
[0.2424569  0.28795354],[0.5075431  1.20028158],[0.07596983 0.79686152],
[0.44073276 0.39629249],[0.3825431  1.03492212],[-0.09051724  1.3057695 ],
[0.75053879 0.36920775],[0.58405172 0.87811574],[0.15247845 0.47469568],
[0.11099138 1.14896312],[0.82704741 0.04704191],[0.35398707 0.3178893 ],
[-0.32543103  1.2259408 ],[0.14762931 0.95509342],[-0.12392241  1.06913442],
[-0.08243534  0.39486698],[0.34913793 0.79828703],[-0.24892241  0.90377496],
[0.18265086 1.30719502],[0.55064655 0.64148065],[0.11907328 0.2380606 ],
[-0.04741379  0.74696858],[-0.00592672  0.07270114],[0.42564655 0.47612119],
[0.25915948 0.98502918],[0.8987069  0.20527381],[0.62715517 0.31931481],
[0.73545259 0.44903646],[0.09590517 1.22879183],[0.56896552 0.95794444],
[0.19073276 0.39629249],[-0.34051724  1.3057695 ],[0.69881466 0.47754671],
[0.02747845 0.64005514],[0.33405172 0.87811574],[-0.13900862  1.14896312],
[-0.26400862  0.98360367],[0.53556034 0.72130936],[0.10398707 0.3178893 ],
[0.36907328 1.23021734],[-0.0625      0.82679728],[0.41056034 0.5559499 ],
[0.30549569 0.16108292],[0.13900862 0.6699909 ],[0.61206897 0.39914352],
[0.4455819 0.9080515],[-0.06734914  1.30719502],[0.13415948 1.15038864],
[0.17564655 0.47612119],[0.60721983 0.87954125],[-0.46390086  1.25587657],
[0.00915948 0.98502918],[0.0705819  0.08125422],[-0.09590517  0.5901622 ],
[0.37715517 0.31931481],[0.2106681 0.8282228],[0.85021552 0.04846743],
[-0.15409483  1.22879183],[0.68372845 0.55737541],[0.57866379 0.16250843],
[-0.01939655  0.26799636],[0.52047414 0.80113806],[0.28717672 0.50605696],
[0.35398707 1.31004604],[0.96174569 0.07840319],[-0.19073276  1.25730208],
[-0.38900862  1.14896312],[0.28556034 0.72130936],[0.48383621 0.82964831],
[0.11907328 1.23021734],[-0.3125      0.82679728],[-0.00592672  1.06485788],
[0.05549569 0.16108292],[0.3205819  1.07341096],[-0.11099138  0.6699909 ],
[0.36206897 0.39914352],[-0.27747845  1.17889889],[0.1955819 0.9080515],
[0.66864224 0.63720411],[0.56357759 0.24233714],[0.39709052 0.75124512],
[0.12715517 0.31931481],[0.39224138 1.23164285],[-0.0393319  0.8282228],
[-0.14439655  0.43335582],[0.32866379 0.16250843],[0.16217672 0.67141642],
[0.63523707 0.40056903],[0.46875    0.90947701],[0.03717672 0.50605696],
[-0.00431034  1.1803244 ],[0.10398707 1.31004604],[0.53017241 0.00570205],
[0.83674569 0.24376265],[0.67025862 0.75267063],[0.23868534 0.34925058],
[0.71174569 0.07840319],[0.00377155 0.26942187],[0.0705819  1.07341096],
[-0.16271552  0.77832986],[0.37715517 1.31147156],[0.74515086 0.64575719],
[0.31357759 0.24233714],[0.51185345 0.35067609],[-0.32596983  1.02209251],
[0.14709052 0.75124512],[-0.01939655  1.2601531 ],[0.45366379 0.98930572],
[0.34859914 0.59443874],[0.82165948 0.32359135],[0.65517241 0.83249933],
[0.07866379 0.16250843],[-0.08782328  0.67141642],[0.21875    0.90947701],
[-0.25431034  1.1803244 ],[0.28017241 0.00570205],[0.11368534 0.51461003],
[0.58674569 0.24376265],[0.42025862 0.75267063],[-0.01131466  0.34925058],
[0.25377155 1.26157862],[-0.17780172  0.85815856],[-0.05280172  1.02351802],
[0.78825431 0.08695627],[0.62176724 0.59586425],[0.19019397 0.1924442 ],
[0.49676724 0.43050479],[0.0237069  0.70135218],[0.33028017 0.93941278],
[0.69827586 0.27369841],[-0.2112069   0.62152348],[0.26185345 0.35067609],
[0.32866379 1.15466517],[-0.26939655  1.2601531 ],[0.46336207 0.19386971],
[0.09859914 0.59443874],[-0.06788793  1.10334672],[0.40517241 0.83249933],
[0.7731681  0.16678497],[0.60668103 0.67569295],[0.44019397 1.18460094],
[-0.13631466  0.51461003],[0.17025862 0.75267063],[-0.30280172  1.02351802],
[0.00377155 1.26157862],[0.53825431 0.08695627],[0.37176724 0.59586425],
[0.84482759 0.32501686],[0.20528017 1.10477223],[0.24676724 0.43050479],
[0.67834052 0.83392485],[-0.05980603  0.1924442 ],[-0.2262931   0.70135218],
[-0.1012931   0.86671164],[0.57327586 0.43905787],[0.14170259 0.03563781],
[-0.39278017  1.21026016],[0.44827586 0.27369841],[0.92133621 0.00285103],
[0.28178879 0.7826064 ],[0.75484914 0.51175901],[-0.02478448  0.5445458 ],
[0.64978448 0.11689203],[0.21336207 0.19386971],[0.28017241 0.99785879],
[0.046875   0.70277769],[-0.31788793  1.10334672],[0.41487069 0.03706333],
[0.72144397 0.27512392],[-0.11637931  0.94654034],[0.35668103 0.67569295],
[0.19019397 1.18460094],[0.5549569  0.78403191],[0.12661638 0.11546652],
[0.39170259 1.02779456],[0.12176724 0.59586425],[-0.04471983  1.10477223],
[0.32327586 0.43905787],[0.79633621 0.16821048],[0.15678879 0.94796585],
[0.19827586 0.27369841],[0.62984914 0.67711847],[0.03178879 0.7826064 ],
[0.46336207 1.18602645],[-0.13469828  1.29151438],[0.39978448 0.11689203],
[-0.07327586  0.38773942],[0.23329741 0.62580001],[0.70635776 0.35495263],
[0.53987069 0.86386061],[0.90786638 0.19814625],[-0.03663793  0.19386971],
[0.00323276 0.06557358],[-0.203125    0.70277769],[0.16487069 0.03706333],
[-0.00161638  0.54597131],[0.47144397 0.27512392],[-0.16810345  1.05487929],
[0.67295259 0.11831754],[0.30818966 0.51888657],[0.07489224 0.22380547],
[0.14170259 1.02779456],[0.50646552 0.62722553],[0.44827586 1.26585515],
[-0.08836207  0.46756812],[0.38469828 0.19672073],[0.5862069  0.03991435],
[-0.09321121  0.94796585],[0.21336207 1.18602645],[-0.38469828  1.29151438],
[0.10829741 0.79115947],[0.14978448 0.11689203],[-0.05818966  1.30006745],
[-0.01670259  0.62580001],[0.58135776 0.52031208],[-0.18318966  1.134708  ],
[0.28987069 0.86386061],[0.41487069 1.02922007],[0.78286638 0.3635057 ],
[0.61637931 0.87241369],[0.18480603 0.46899363],[0.65786638 0.19814625],
[0.01831897 0.97790162],[0.49137931 0.70705423],[0.32489224 1.21596221],
[0.859375   0.04133986],[0.69288793 0.55024785],[-0.05010776  0.38916493],
[0.42295259 0.11831754],[-0.21659483  0.89807291],[0.25646552 0.62722553],
[0.08997845 1.13613351],[0.45797414 0.47041914],[0.02640086 0.06699909],
[-0.14008621  0.57590707],[0.39978448 1.10904877],[0.3362069  0.03991435],
[0.6012931  0.95224239],[0.16971983 0.54882234],[0.53448276 0.14825331],
[0.84428879 0.12116857],[-0.30818966  1.30006745],[0.16487069 1.02922007],
[0.20474138 0.90092394],[0.29956897 0.0684246 ],[0.36637931 0.87241369],
[-0.06519397  0.46899363],[-0.23168103  0.97790162],[0.24137931 0.70705423],
[0.07489224 1.21596221],[0.13631466 0.31218725],[0.609375   0.04133986],
[-0.03017241  0.82109523],[0.01131466 0.14682779],[0.44288793 0.55024785],
[0.27640086 1.05915583],[0.64439655 0.39344147],[0.04633621 0.4989294 ],
[0.00646552 0.62722553],[0.68103448 0.19957176],[0.72090517 0.07127563],
[0.51454741 0.70847974],[0.20797414 0.47041914],[0.04148707 0.97932713],
[0.8825431  0.04276538],[0.71605603 0.55167336],[0.28448276 0.14825331],
[0.3512931  0.95224239],[0.54956897 1.06058134],[-0.24676724  1.05773032],
[0.79256466 0.22950752],[0.12122845 0.39201595],[0.42780172 0.63007655],
[-0.04525862  0.90092394],[0.62931034 0.47327017],[0.46282328 0.98217815],
[-0.11368534  0.31218725],[0.62446121 0.9536679 ],[-0.28017241  0.82109523],
[0.19288793 0.55024785],[0.02640086 1.05915583],[-0.07866379  0.66428885],
[0.39439655 0.39344147],[0.22790948 0.90234945],[0.26939655 0.22808201],
[0.8674569  0.12259408],[-0.37015086  1.00783738],[0.70096983 0.63150206],
[0.53448276 1.14041005],[-0.00215517  0.34212301],[0.47090517 0.07127563],
[0.3044181  0.58018361],[-0.20851293  0.97932713],[0.46605603 0.55167336],
[0.03448276 0.14825331],[0.29956897 1.06058134],[0.50107759 0.90377496],
[0.06950431 0.50035491],[0.13631466 1.30434399],[-0.09698276  1.00926289],
[-0.29525862  0.90092394],[0.74407328 0.07270114],[0.37931034 0.47327017],
[0.57758621 0.58160912],[-0.26023707  1.25302554],[0.21282328 0.98217815],
[0.4143319  0.82537177],[0.14439655 0.39344147],[-0.02209052  0.90234945],
[0.28448276 1.14041005],[0.34590517 0.23663508],[0.1794181  0.74554307],
[0.22090517 0.07127563],[0.01293103 1.25445105],[0.0544181  0.58018361],
[0.65247845 0.47469568],[-0.11206897  1.0890916 ],[0.48599138 0.98360367],
[0.85398707 0.3178893 ],[-0.05064655  0.18531663],[0.25592672 0.42337723],
[0.72898707 0.15252984],[0.5625     0.66143783],[0.04956897 1.06058134],
[0.08943966 0.93228521],[0.76400862 0.50463145],[-0.18049569  0.50035491],
[0.72413793 0.63292758],[-0.34698276  1.00926289],[0.02101293 0.34354853],
[0.49407328 0.07270114],[-0.14547414  0.85245651],[0.32758621 0.58160912],
[0.52909483 0.42480274],[0.09752155 0.02138269],[0.1643319  0.82537177],
[-0.06896552  0.53029067],[0.47090517 1.06343237],[0.83890086 0.397718  ],
[0.60560345 0.1026369 ],[-0.0705819   0.74554307],[-0.23706897  1.25445105],
[0.23599138 0.98360367],[-0.36206897  1.0890916 ],[0.60398707 0.3178893 ],
[0.4375     0.82679728],[0.00592672 0.42337723],[-0.03556034  1.09764467],
[0.3125     0.66143783],[-0.16056034  0.93228521],[0.14601293 1.17034581],
[0.63900862 0.6699909 ],[0.20743534 0.26657085],[0.51400862 0.50463145],
[0.04094828 0.77547883],[0.34752155 1.01353943],[0.71551724 0.34782506],
[0.07758621 0.58160912],[-0.02747845  0.18674215],[-0.19396552  0.69565013],
[0.27909483 0.42480274],[0.11260776 0.93371073],[0.75215517 0.15395536],
[0.17403017 0.02993576],[0.48060345 0.26799636],[0.78717672 0.50605696],
[-0.1174569   0.37348429],[0.35560345 0.1026369 ],[0.42241379 0.90662599],
[0.45743534 1.25872759],[0.1875     0.82679728],[-0.28556034  1.09764467],
[0.38900862 0.6699909 ],[-0.04256466  0.26657085],[0.22252155 1.17889889],
[0.26400862 0.50463145],[-0.20905172  0.77547883],[0.09752155 1.01353943],
[-0.37553879  1.28438682],[0.46551724 0.34782506],[0.93857759 0.07697768],
[0.29903017 0.85673305],[0.77209052 0.58588566],[-0.0075431   0.61867245],
[0.66702586 0.19101868],[0.02909483 0.42480274],[-0.13739224  0.93371073],
[0.23060345 0.26799636],[0.06411638 0.77690435],[0.53717672 0.50605696],
[-0.30064655  1.17747337],[-0.10237069  1.28581233],[0.37068966 1.01496494],
[0.43211207 0.11118998],[0.73868534 0.34925058],[0.37392241 0.74981961],
[0.140625   0.45473851],[0.20743534 1.25872759],[0.57219828 0.85815856],
[0.81519397 0.02708474],[0.6487069  0.53599272],[-0.02747845  1.17889889],
[0.81357759 0.24233714],[0.17403017 1.02209251],[0.21551724 0.34782506],
[0.64709052 0.75124512],[0.04903017 0.85673305],[0.48060345 1.2601531 ],
[0.35560345 1.09479365],[-0.42403017  1.12758043],[0.41702586 0.19101868],
[0.25053879 0.69992667],[0.72359914 0.42907928],[0.08405172 1.20883465],
[0.55711207 0.93798726],[0.02047414 0.13970023],[-0.18588362  0.77690435],
[-0.35237069  1.28581233],[0.18211207 0.11118998],[0.015625   0.62009796],
[0.48868534 0.34925058],[-0.15086207  1.12900595],[-0.109375    0.45473851],
[0.32219828 0.85815856],[0.21713362 0.46329158],[0.69019397 0.1924442 ],
[0.5237069  0.70135218],[0.09213362 0.29793213],[0.56519397 0.02708474],
[-0.07435345  0.80684011],[0.40193966 0.27084739],[0.60021552 0.37918634],
[-0.07596983  1.02209251],[0.23060345 1.2601531 ],[0.05872845 0.06129704],
[0.59859914 0.59443874],[0.36530172 0.29935764],[0.43211207 1.10334672],
[5.38793103e-04 6.99926667e-01],[-0.16594828  1.20883465],[0.30711207 0.93798726],
[0.20204741 0.54312029],[0.67510776 0.2722729 ],[0.03556034 1.05202827],
[0.50862069 0.78118088],[0.34213362 1.29008887],[0.87661638 0.11546652],
[0.71012931 0.6243745 ],[0.27855603 0.22095445],[-0.234375    0.62009796],
[-0.40086207  1.12900595],[0.07219828 0.85815856],[0.44019397 0.1924442 ],
[0.74676724 0.43050479],[-0.19935345  0.97219957],[0.58028017 0.93941278],
[0.2737069  0.70135218],[0.10721983 1.21026016],[-0.49084052  1.31574809],
[0.47521552 0.5445458 ],[0.04364224 0.14112574],[-0.12284483  0.65003373],
[0.41702586 1.18317542],[0.35021552 0.37918634],[0.18372845 0.88809432],
[0.55172414 0.22237996],[0.11530172 0.29935764],[0.6950431 0.7042032],
[0.18211207 1.10334672],[-0.41594828  1.20883465],[0.31681034 0.14255126],
[-0.04795259  0.54312029],[-0.21443966  1.05202827],[0.25862069 0.78118088],
[0.09213362 1.29008887],[0.62661638 0.11546652],[0.46012931 0.6243745 ],
