[0.1826484  1.31412082],[0.66971081 0.57580233],[0.78386606 0.60163271],
[0.41856925 0.80181819],[0.90563166 0.0634997 ],[0.65449011 0.28951556],
[0.84931507 0.8427163 ],[0.19939117 1.06335084],[0.2891933  0.48970104],
[0.11567732 0.19588042],[0.7716895  1.36255279],[0.59817352 1.06873217],
[0.23287671 1.26891765],[0.07001522 0.75123369],[0.83409437 0.55642954],
[0.64231355 1.05043564],[0.46879756 0.75661502],[0.95585997 0.01829652],
[0.7564688  1.07626603],[0.10350076 0.9568005 ],[0.39117199 1.27645151],
[0.21765601 0.98263088],[0.70471842 0.24431239],[0.33942161 0.44449787],
[0.78995434 1.28183284],[0.16590563 0.15067724],[0.45357686 0.47032825],
[0.73820396 0.4498792 ],[0.08828006 0.67051374],[0.21004566 0.13238072],
[0.66057839 0.96971569],[0.4870624  0.67589507],[0.88432268 0.51122636],
[0.32420091 0.15821111],[0.89649924 0.45741306],[0.72298326 0.16359244],
[0.4414003  1.23124834],[0.26788432 0.93742771],[0.35768645 0.36377792],
[0.84018265 1.23662967],[0.67732116 0.71894571],[0.13850837 0.62531056],
[0.7108067  0.92451252],[0.37442922 0.11300793],[0.82496195 0.9503429 ],
[0.00913242 0.31319341],[0.45966514 1.15052839],[0.94672755 0.41220989],
[0.09436834 1.35071387],[0.77321157 0.11838926],[0.40791476 0.31857474],
[0.695586   0.63822576],[0.52207002 0.34440513],[0.33028919 0.83841124],
[0.15677321 0.54459061],[0.93150685 0.12592313],[0.27853881 0.0064576 ],
[0.72907154 0.84379257],[0.39269406 0.03228798],[0.11111111 1.09994388],
[0.02739726 0.23247346],[0.96499239 0.33148994],[0.68340944 1.39914584],
[0.50989346 1.10532521],[0.14459665 1.30551069],[0.2587519  1.33134108],
[0.74581431 0.59302258],[0.3805175  0.79320806],[0.0152207  0.99339354],
[0.98173516 0.08071995],[0.12937595 1.01922393],[0.77929985 0.79858939],
[0.61643836 0.28090543],[0.25114155 0.48109092],[0.70167428 1.31842589],
[0.07762557 0.18727029],[0.5281583  1.02460526],[0.3652968 0.5069213],
[0.16286149 1.22479074],[0.         0.70710678],[0.93759513 0.80612326],
[0.76407915 0.51230263],[0.57229833 1.00630874],[0.39878234 0.71248811],
[0.71841705 1.0676559 ],[0.6347032  0.20018548],[0.35312024 1.26784138],
[0.17960426 0.97402076],[0.26940639 0.40037096],[0.09589041 0.10655034],
[0.75190259 1.27322271],[0.05022831 0.66190361],[0.98782344 0.76092008],
[0.81430746 0.46709946],[0.62252664 0.96110556],[0.44901065 0.66728494],
[0.28614916 0.14960098],[0.73668189 0.98693595],[0.08371385 0.86747042],
[0.37138508 1.18712143],[0.1978691 0.8933008],[0.85844749 0.44880293],
[0.68493151 0.15498231],[0.00608828 1.38730691],[0.97260274 0.47463332],
[0.3196347  0.35516779],[0.77016743 1.19250276],[0.60730594 0.6748188 ],
[0.43378995 0.38099817],[0.24200913 0.87500428],[0.06849315 0.58118366],
[0.64079148 0.88038561],[0.304414   0.06888103],[0.7869102  0.94173278],
[0.87671233 0.36808298],[0.70319635 0.07426236],[0.42161339 1.14191826],
[0.33789954 0.27444784],[0.05631659 1.34210374],[0.17047184 1.36793412],
[0.65753425 0.62961563],[0.45509893 1.34748507],[0.29223744 0.82980111],
[0.11872146 0.53598048],[0.8934551 0.117313 ],[0.69101979 0.83518244],
[0.04109589 1.05581697],[0.97869102 1.15483345],[0.35464231 0.02367785],
[0.80517504 0.86101282],[0.61339422 1.35501893],[0.43987823 1.0611983 ],
[0.92694064 0.32287981],[0.07458143 1.26138379],[0.67579909 0.54889567],
[0.31050228 0.74908116],[0.79756469 0.01076266],[0.91171994 0.03659304],
[0.70928463 0.75446249],[0.54642314 0.23677853],[0.0913242 1.0106138],
[0.18112633 0.43696401],[0.00761035 0.14314338],[0.94520548 0.24215986],
[0.66362253 1.30981576],[0.49010654 1.01599513],[0.32724505 0.49831117],
[0.12480974 1.21618061],[0.23896499 1.242011  ],[0.89954338 0.79751313],
[0.7260274 0.5036925],[0.53424658 0.99769861],[0.36073059 0.70387798],
[0.64840183 1.02352899],[0.28310502 1.22371448],[0.10958904 0.92989385],
[0.59665145 0.19157535],[0.23135464 0.39176083],[0.68188737 1.22909581],
[0.05783866 0.09794021],[0.99543379 0.19695668],[0.34550989 0.41759122],
[0.91780822 0.71679318],[0.74429224 0.42297255],[0.55251142 0.91697866],
[0.37899543 0.62315803],[0.21613394 0.10547407],[0.69863014 0.97832582],
[0.78843227 0.40467603],[0.61491629 0.1108554 ],[0.33333333 1.1785113 ],
[0.15981735 0.88469068],[0.24961948 0.31104088],[0.73211568 1.18389263],
[0.08219178 1.40452717],[0.56925419 0.66620867],[0.36681887 1.38407811],
[0.3957382  0.37238805],[0.0304414  0.57257353],[0.48097412 1.4099085 ],
[0.96803653 0.67159   ],[0.60273973 0.87177548],[0.26636225 0.0602709 ],
[0.71689498 0.89760587],[0.35159817 1.09779135],[0.83866058 0.35947285],
[0.6651446  0.06565223],[0.95281583 0.38530324],[0.29984779 0.26583771],
[0.58751903 0.58548872],[0.41400304 0.29166809],[0.22222222 0.7856742 ],
[0.04870624 0.49185358],[0.98630137 0.59087005],[0.82343988 0.07318609],
[0.62100457 0.79105553],[0.45814307 0.27337157],[0.00304414 1.04720685],
[0.94063927 1.14622332],[0.76712329 0.8524027 ],[0.85692542 0.2787529 ],
[0.57534247 1.3464088 ],[0.40182648 1.05258818],[0.03652968 1.25277366],
[0.97412481 1.35179013],[0.15068493 1.27860404],[0.63774734 0.54028555],
[0.27245053 0.74047103],[0.87366819 0.02798292],[0.67123288 0.74585236],
[0.02130898 0.96648689],[0.50837139 0.2281684 ],[0.95890411 1.06550337],
[0.14307458 0.42835388],[0.59360731 1.26568885],[0.42009132 0.97186822],
[0.25722983 0.45418426],[0.90715373 0.23354973],[0.05479452 1.17205371],
[0.82952816 0.75338622],[0.65601218 0.45956559],[0.29071537 0.65975108],
[0.61035008 1.01491887],[0.52663623 0.14744845],[0.24505327 1.21510435],
[0.07153729 0.92128372],[0.16133942 0.34763393],[0.92541857 0.15282978],
[0.64383562 1.22048568],[0.30745814 0.40898109],[0.87975647 0.70818305],
[0.70624049 0.41436242],[0.51445967 0.90836853],[0.34094368 0.6145479 ],
[0.17808219 0.09686394],[0.62861492 0.93419891],[0.26331811 1.13438439],
[0.08980213 0.84056377],[0.75038052 0.3960659 ],[0.57686454 0.10224527],
[0.86453577 0.42189628],[0.21156773 0.30243075],[0.66210046 1.13976572],
[0.49923896 0.62208176],[0.32572298 0.32826114],[0.13394216 0.82226725],
[0.89802131 0.6274631 ],[0.44292237 1.40129837],[0.53272451 0.82764858],
[0.19634703 0.01614399],[0.67884323 0.88899574],[0.76864536 0.31534595],
[0.59512938 0.02152532],[0.31354642 1.08918122],[0.22983257 0.2217108 ],
[0.88584475 1.38838318],[0.06240487 1.31519709],[0.54946728 0.57687859],
[0.37595129 0.28305797],[0.34703196 1.29474803],[0.18417047 0.77706407],
[0.01065449 0.48324345],[0.94824962 0.58225992],[0.78538813 0.06457596],
[0.58295282 0.7824454 ],[0.87062405 1.10209641],[0.69710807 0.80827579],
[0.50532725 1.3022819 ],[0.33181126 1.00846127],[0.81887367 0.27014277],
[0.93302892 0.29597316],[0.56773212 0.49615864],[0.20243531 0.69634412],
[0.60121766 0.70172545],[0.43835616 0.18404149],[0.07305936 0.38422697],
[0.92085236 1.05689324],[0.83713851 0.18942282],[0.55555556 1.25707872],
[0.38203957 0.9632581 ],[0.21917808 0.44557414],[0.01674277 1.16344358],
[0.9543379  1.26246005],[0.13089802 1.18927396],[0.79147641 0.74477609],
