[0.19230769 0.66617339],[-0.03021978  0.82319997],[0.58791209 0.67569015],
[0.47252747 0.27598612],[0.81593407 0.29026126],[-0.03846154  0.73279073],
[0.30494505 0.74706587],[0.68681319 0.02855029],[0.80769231 0.19985202],
[-0.16758242  0.47107975],[0.17582418 0.4853549 ],[0.0467033  0.22364392],
[0.39010989 0.23791907],[0.16758242 0.39494565],[0.78571429 0.24743583],
[0.27472527 0.70424044],[0.28021978 0.47583813],[0.50274725 0.31881155],
[0.03846154 0.13323468],[0.15934066 0.30453641],[-0.35164835  0.76134101],
[0.03021978 0.04282543],[0.37362637 0.05710058],[0.04395604 0.77085778],
[0.26648352 0.61383119],[0.38736264 0.78513292],[0.25824176 0.52342195],
[0.60164835 0.53769709],[-0.37362637  0.80892483],[0.12912088 0.26171097],
[-0.38186813  0.71851558],[-0.15384615  0.33308669],[0.24175824 0.34260346],
[0.58516484 0.3568786 ],[0.46428571 0.18557687],[-0.26923077  0.79940807],
[-0.0467033   0.64238148],[0.07417582 0.81368321],[0.45604396 0.09516763],
[0.79945055 0.10944277],[0.46978022 0.82319997],[-0.17582418  0.38067051],
[-0.05494505  0.55197224],[0.0521978  0.86126702],[0.4478022  0.00475838],
[0.79120879 0.01903353],[-0.06318681  0.46156299],[-0.07142857  0.37115374],
[0.1510989  0.21412716],[0.27197802 0.38542889],[0.14285714 0.12371791],
[0.03571429 0.68044853],[0.15659341 0.85175026],[0.37912088 0.69472368],
[0.25      0.4330127],[0.37087912 0.60431443],[0.59340659 0.44728785],
[0.13461538 0.03330867],[0.25549451 0.2046104 ],[0.47802198 0.04758381],
[0.36263736 0.51390518],[0.48351648 0.68520691],[0.23351648 0.25219421],
[0.57692308 0.26646936],[0.6978022  0.43777108],[-0.27747253  0.70899882],
[0.06593407 0.72327396],[0.56868132 0.17606011],[0.05769231 0.63286472],
[0.67582418 0.4853549 ],[-0.04945055  0.32356993],[0.56043956 0.08565086],
[0.68131868 0.25695259],[0.90384615 0.09992601],[-0.29395604  0.52818033],
[0.04945055 0.54245547],[0.8956044  0.00951676],[-0.07967033  0.2807445 ],
[0.26373626 0.29501964],[0.04120879 0.45204623],[0.65934066 0.30453641],
[0.88186813 0.14750982],[0.14835165 0.76134101],[0.49175824 0.77561616],
[-0.08791209  0.19033525],[0.37637363 0.37591213],[0.03296703 0.36163698],
[0.24725275 0.11420115],[0.13186813 0.58052252],[0.3543956  0.42349594],
[0.47527473 0.59479767],[0.22527473 0.16178497],[0.34615385 0.33308669],
